class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000123e+00","9.998773e-01"
"reg64","add","throughput","2.556219e-01","3.912028e+00"
"reg64","lea","latency","1.000090e+00","9.999096e-01"
"reg64","lea","throughput","2.557372e-01","3.910264e+00"
"reg64","xor dst,dst","latency","2.031454e-01","4.922583e+00"
"reg64","xor dst,dst","throughput","2.031444e-01","4.922606e+00"
"reg64","xor","latency","2.031455e-01","4.922580e+00"
"reg64","xor","throughput","2.031546e-01","4.922360e+00"
"reg64","load","latency","5.000218e+00","1.999913e-01"
"reg64","load","throughput","6.250172e-01","1.599956e+00"
"reg64","crc32","latency","3.000080e+00","3.333244e-01"
"reg64","crc32","throughput","1.000113e+00","9.998871e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.500305e+00","1.333279e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.221330e+00","8.187794e-01"
"reg64","store [mem+0]->load[mem+1]","latency","2.200093e+01","4.545262e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.700064e+01","5.882132e-02"
"m128","pxor","latency","2.222595e-01","4.499245e+00"
"m128","pxor","throughput","2.222553e-01","4.499331e+00"
"m128","padd","latency","1.000229e+00","9.997710e-01"
"m128","padd","throughput","3.333628e-01","2.999735e+00"
"m128","pmuldq","latency","5.000267e+00","1.999893e-01"
"m128","pmuldq","throughput","5.003938e-01","1.998426e+00"
"m128","loadps","throughput","5.000369e-01","1.999853e+00"
"m128","loadps->movq","latency","8.000283e+00","1.249956e-01"
"m128","movq->movq","latency","4.000146e+00","2.499909e-01"
"m128","movq->movq","throughput","1.000038e+00","9.999621e-01"
"m128","xorps","latency","2.222576e-01","4.499283e+00"
"m128","xorps","throughput","2.222551e-01","4.499335e+00"
"m128","addps","latency","4.000145e+00","2.499909e-01"
"m128","addps","throughput","5.000284e-01","1.999886e+00"
"m128","mulps","latency","4.000144e+00","2.499910e-01"
"m128","mulps","throughput","5.002467e-01","1.999014e+00"
"m128","divps","latency","1.100040e+01","9.090581e-02"
"m128","divps","throughput","3.000143e+00","3.333174e-01"
"m128","divpd","latency","1.300052e+01","7.692000e-02"
"m128","divpd","throughput","4.000159e+00","2.499900e-01"
"m128","rsqrtps","latency","4.000145e+00","2.499909e-01"
"m128","rsqrtps","throughput","1.000021e+00","9.999792e-01"
"m128","rcpps","latency","4.000269e+00","2.499832e-01"
"m128","rcpps","throughput","1.000021e+00","9.999792e-01"
"m128","blendps","latency","1.000024e+00","9.999758e-01"
"m128","blendps","throughput","3.333651e-01","2.999714e+00"
"m128","blendvps","latency","1.000203e+00","9.997972e-01"
"m128","blendvps","throughput","4.056250e-01","2.465331e+00"
"m128","pshufb","latency","1.000198e+00","9.998017e-01"
"m128","pshufb","throughput","5.000239e-01","1.999904e+00"
"m128","shufps","latency","1.000203e+00","9.997968e-01"
"m128","shufps","throughput","5.000252e-01","1.999899e+00"
"m128","pmullw","latency","5.000271e+00","1.999891e-01"
"m128","pmullw","throughput","5.003838e-01","1.998466e+00"
"m128","phaddd","latency","2.082740e+00","4.801367e-01"
"m128","phaddd","throughput","1.070855e+00","9.338328e-01"
"m128","haddps","latency","2.082687e+00","4.801489e-01"
"m128","haddps","throughput","1.070865e+00","9.338247e-01"
"m128","pinsrd","latency","1.086713e+00","9.202064e-01"
"m128","pinsrd","throughput","1.082768e+00","9.235590e-01"
"m128","pinsrd->pextr","latency","6.000270e+00","1.666592e-01"
"m128","dpps","latency","1.400051e+01","7.142596e-02"
"m128","dpps","throughput","4.027979e+00","2.482635e-01"
"m128","cvtps2dq","latency","4.000144e+00","2.499910e-01"
"m128","cvtps2dq","throughput","5.000373e-01","1.999851e+00"
"m128","pmovmskb","throughput","1.000020e+00","9.999797e-01"
"m128","pmovmskb->movq","latency","4.000152e+00","2.499905e-01"
"m128","movq->movq","latency","4.000144e+00","2.499910e-01"
"m128","movaps [mem]","latency","8.000399e+00","1.249938e-01"
"m128","movaps [mem]","throughput","5.000354e-01","1.999858e+00"
