class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000568e+00","9.994321e-01"
"reg64","add","throughput","2.146726e-01","4.658257e+00"
"reg64","lea","latency","1.000484e+00","9.995167e-01"
"reg64","lea","throughput","2.124842e-01","4.706231e+00"
"reg64","xor dst,dst","latency","1.718961e-01","5.817468e+00"
"reg64","xor dst,dst","throughput","1.694930e-01","5.899950e+00"
"reg64","xor","latency","1.695031e-01","5.899597e+00"
"reg64","xor","throughput","1.692891e-01","5.907054e+00"
"reg64","load","latency","5.002239e+00","1.999105e-01"
"reg64","load","throughput","6.302956e-01","1.586557e+00"
"reg64","crc32","latency","3.000189e+00","3.333123e-01"
"reg64","crc32","throughput","1.000012e+00","9.999876e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.433958e+00","1.345179e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.202551e+00","8.315654e-01"
"reg64","store [mem+0]->load[mem+1]","latency","2.006088e+01","4.984827e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.501355e+01","6.660650e-02"
"m128","pxor","latency","2.664638e-01","3.752855e+00"
"m128","pxor","throughput","1.805852e-01","5.537552e+00"
"m128","padd","latency","1.000151e+00","9.998493e-01"
"m128","padd","throughput","3.333607e-01","2.999754e+00"
"m128","pmuldq","latency","5.003294e+00","1.998683e-01"
"m128","pmuldq","throughput","5.022452e-01","1.991060e+00"
"m128","loadps","throughput","5.034591e-01","1.986259e+00"
"m128","loadps->movq","latency","8.011909e+00","1.248142e-01"
"m128","movq->movq","latency","4.008428e+00","2.494743e-01"
"m128","movq->movq","throughput","1.000031e+00","9.999691e-01"
"m128","xorps","latency","1.806111e-01","5.536759e+00"
"m128","xorps","throughput","1.805922e-01","5.537337e+00"
"m128","addps","latency","2.018158e+00","4.955012e-01"
"m128","addps","throughput","5.000254e-01","1.999898e+00"
"m128","mulps","latency","4.000415e+00","2.499741e-01"
"m128","mulps","throughput","5.000354e-01","1.999858e+00"
"m128","divps","latency","1.100323e+01","9.088239e-02"
"m128","divps","throughput","3.003580e+00","3.329360e-01"
"m128","divpd","latency","1.300635e+01","7.688554e-02"
"m128","divpd","throughput","4.000236e+00","2.499853e-01"
"m128","rsqrtps","latency","4.000346e+00","2.499784e-01"
"m128","rsqrtps","throughput","1.025493e+00","9.751403e-01"
"m128","rcpps","latency","4.000091e+00","2.499943e-01"
"m128","rcpps","throughput","1.000022e+00","9.999777e-01"
"m128","blendps","latency","1.000110e+00","9.998898e-01"
"m128","blendps","throughput","3.333615e-01","2.999746e+00"
"m128","blendvps","latency","1.000102e+00","9.998985e-01"
"m128","blendvps","throughput","3.612186e-01","2.768407e+00"
"m128","pshufb","latency","1.024351e+00","9.762280e-01"
"m128","pshufb","throughput","5.000233e-01","1.999907e+00"
"m128","shufps","latency","1.000140e+00","9.998599e-01"
"m128","shufps","throughput","5.000231e-01","1.999908e+00"
"m128","pmullw","latency","5.009489e+00","1.996212e-01"
"m128","pmullw","throughput","5.000752e-01","1.999699e+00"
"m128","phaddd","latency","2.073159e+00","4.823556e-01"
"m128","phaddd","throughput","1.057663e+00","9.454804e-01"
"m128","haddps","latency","2.073030e+00","4.823857e-01"
"m128","haddps","throughput","1.053319e+00","9.493797e-01"
"m128","pinsrd","latency","1.100992e+00","9.082720e-01"
"m128","pinsrd","throughput","1.056009e+00","9.469614e-01"
"m128","pinsrd->pextr","latency","6.000348e+00","1.666570e-01"
"m128","dpps","latency","1.400604e+01","7.139775e-02"
"m128","dpps","throughput","4.030279e+00","2.481218e-01"
"m128","cvtps2dq","latency","4.000535e+00","2.499666e-01"
"m128","cvtps2dq","throughput","5.000233e-01","1.999907e+00"
"m128","pmovmskb","throughput","1.000126e+00","9.998739e-01"
"m128","pmovmskb->movq","latency","4.003461e+00","2.497839e-01"
"m128","movq->movq","latency","4.002764e+00","2.498274e-01"
"m128","movaps [mem]","latency","8.003873e+00","1.249395e-01"
"m128","movaps [mem]","throughput","5.034714e-01","1.986210e+00"
"m128","movdqu [mem+1]","latency","8.002935e+00","1.249542e-01"
"m128","movdqu [mem+1]","throughput","5.031196e-01","1.987599e+00"
"m128","movdqu [mem+63] (cross cache)","latency","1.501032e+01","6.662084e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","1.064330e+00","9.395580e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.500859e+01","6.662851e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","3.309482e+00","3.021621e-01"
"m128","pcmpistri","throughput","3.002417e+00","3.330649e-01"
"m128","pcmpistri->movq","latency","1.200592e+01","8.329224e-02"
"m128","pcmpistrm","throughput","3.000935e+00","3.332295e-01"
"m128","pcmpistrm","latency","8.817038e+00","1.134168e-01"
"m128","pcmpestri","throughput","4.030312e+00","2.481197e-01"
"m128","pcmpestri->movq","latency","1.300943e+01","7.686733e-02"
"m128","pcmpestrm","throughput","5.033398e+00","1.986729e-01"
"m128","pcmpestrm","latency","1.071767e+01","9.330383e-02"
"m256","movaps [mem]","throughput","5.579957e-01","1.792129e+00"
"m256","movaps [mem] -> movq","latency","9.010444e+00","1.109823e-01"
"m256","vmovdqu [mem+1]","throughput","5.041237e-01","1.983640e+00"
"m256","vmovdqu [mem+1] -> movq","latency","9.040275e+00","1.106161e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.064618e+00","9.393040e-01"
"m256","vmovdqu [mem+63] (cross cache) -> movq","latency","1.601066e+01","6.245839e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","3.310455e+00","3.020733e-01"
"m256","vmovdqu [mem+2MB-1] (cross page) -> movq","latency","1.601135e+01","6.245568e-02"
"m256","vxorps","latency","2.321941e-01","4.306743e+00"
"m256","vxorps","throughput","1.806001e-01","5.537097e+00"
"m256","vmulps","latency","4.002952e+00","2.498157e-01"
"m256","vmulps","throughput","5.000157e-01","1.999937e+00"
"m256","vaddps","latency","2.002726e+00","4.993194e-01"
"m256","vaddps","throughput","5.001488e-01","1.999405e+00"
"m256","vdivps","latency","1.101186e+01","9.081122e-02"
"m256","vdivps","throughput","5.003190e+00","1.998725e-01"
"m256","vdivpd","latency","1.300603e+01","7.688741e-02"
"m256","vdivpd","throughput","8.003462e+00","1.249459e-01"
"m256","vrsqrtps","latency","4.002352e+00","2.498531e-01"
"m256","vrsqrtps","throughput","1.000019e+00","9.999814e-01"
"m256","vrcpps","latency","4.001008e+00","2.499370e-01"
"m256","vrcpps","throughput","1.000331e+00","9.996693e-01"
"m256","vsqrtps","latency","1.200311e+01","8.331173e-02"
"m256","vsqrtps","throughput","6.003150e+00","1.665792e-01"
"m256","vperm2f128","latency","3.003393e+00","3.329567e-01"
"m256","vperm2f128","throughput","1.002735e+00","9.972721e-01"
"m256","vpxor","latency","1.722156e-01","5.806676e+00"
"m256","vpxor","throughput","1.805865e-01","5.537513e+00"
"m256","vpaddd","latency","1.000335e+00","9.996648e-01"
"m256","vpaddd","throughput","3.375780e-01","2.962278e+00"
"m256","vpermps","latency","3.000313e+00","3.332986e-01"
"m256","vpermps","throughput","1.000671e+00","9.993295e-01"
"m256","vpermpd","latency","3.000597e+00","3.332670e-01"
"m256","vpermpd","throughput","1.002704e+00","9.973033e-01"
"m256","vpblendvb","latency","3.000024e+00","3.333306e-01"
"m256","vpblendvb","throughput","1.038133e+00","9.632681e-01"
"m256","vpmovmskb","throughput","1.000175e+00","9.998254e-01"
"m256","vpmovsxwd","latency","3.002629e+00","3.330414e-01"
"m256","vpmovsxwd","throughput","1.000390e+00","9.996104e-01"
"m256","vpgatherdd","latency","2.401178e+01","4.164623e-02"
"m256","vpgatherdd","throughput","3.219363e+00","3.106204e-01"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.627541e+01","6.144237e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","3.509131e+00","2.849708e-01"
"m256","vgatherdpd","latency","2.301183e+01","4.345592e-02"
"m256","vgatherdpd","throughput","2.476983e+00","4.037170e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.243744e+01","8.040242e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","1.646755e+00","6.072548e-01"
"m256","vpshufb","latency","1.006584e+00","9.934589e-01"
"m256","vpshufb","throughput","5.006320e-01","1.997475e+00"
"m256","vfmaps","latency","4.002679e+00","2.498326e-01"
"m256","vfmaps","throughput","5.009518e-01","1.996200e+00"
"m256","vfmapd","latency","4.015092e+00","2.490603e-01"
"m256","vfmapd","throughput","5.001248e-01","1.999501e+00"
"m128","vfmaps","latency","4.000098e+00","2.499939e-01"
"m128","vfmaps","throughput","5.000301e-01","1.999880e+00"
"m128","vfmapd","latency","4.065774e+00","2.459556e-01"
"m128","vfmapd","throughput","5.000195e-01","1.999922e+00"
"reg64","popcnt","latency","3.001612e+00","3.331543e-01"
"reg64","popcnt","throughput","1.030381e+00","9.705147e-01"
"m128","aesenc","latency","3.000364e+00","3.332929e-01"
"m128","aesenc","throughput","5.000345e-01","1.999862e+00"
"m128","aesenclast","latency","3.000851e+00","3.332388e-01"
"m128","aesenclast","throughput","5.032099e-01","1.987242e+00"
"m128","aesdec","latency","3.002637e+00","3.330406e-01"
"m128","aesdec","throughput","5.000208e-01","1.999917e+00"
"m128","aesdeclast","latency","3.002683e+00","3.330354e-01"
"m128","aesdeclast","throughput","5.000208e-01","1.999917e+00"
"m128","pclmulqdq","latency","3.003543e+00","3.329401e-01"
"m128","pclmulqdq","throughput","1.000025e+00","9.999748e-01"
