class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000156e+00","9.998441e-01"
"reg64","add","throughput","3.983821e-01","2.510153e+00"
"reg64","lea","latency","1.000091e+00","9.999088e-01"
"reg64","lea","throughput","2.578309e-01","3.878512e+00"
"reg64","xor dst,dst","latency","2.578326e-01","3.878485e+00"
"reg64","xor dst,dst","throughput","2.578307e-01","3.878513e+00"
"reg64","xor","latency","2.579951e-01","3.876042e+00"
"reg64","xor","throughput","2.578340e-01","3.878465e+00"
"reg64","load","latency","4.000354e+00","2.499779e-01"
"reg64","load","throughput","6.252091e-01","1.599465e+00"
"reg64","crc32","latency","3.015986e+00","3.315666e-01"
"reg64","crc32","throughput","3.015822e+00","3.315846e-01"
"reg64","store [mem+0]->load[mem+0]","latency","3.177721e+01","3.146909e-02"
"reg64","store [mem+0]->load[mem+0]","throughput","2.745000e+00","3.642988e-01"
"reg64","store [mem+0]->load[mem+1]","latency","3.700222e+01","2.702541e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.700382e+01","5.881030e-02"
"m128","pxor","latency","2.502956e-01","3.995275e+00"
"m128","pxor","throughput","2.500424e-01","3.999322e+00"
"m128","padd","latency","1.000023e+00","9.999767e-01"
"m128","padd","throughput","3.333605e-01","2.999756e+00"
"m128","pmuldq","latency","3.000340e+00","3.332956e-01"
"m128","pmuldq","throughput","1.000018e+00","9.999816e-01"
"m128","loadps","throughput","5.000331e-01","1.999868e+00"
"m128","loadps->movq","latency","9.097036e+00","1.099259e-01"
"m128","movq->movq","latency","6.001968e+00","1.666120e-01"
"m128","movq->movq","throughput","1.000389e+00","9.996111e-01"
"m128","xorps","latency","2.500454e-01","3.999274e+00"
"m128","xorps","throughput","2.500517e-01","3.999173e+00"
"m128","addps","latency","3.000175e+00","3.333139e-01"
"m128","addps","throughput","5.000303e-01","1.999879e+00"
"m128","mulps","latency","3.000439e+00","3.332846e-01"
"m128","mulps","throughput","5.000231e-01","1.999908e+00"
"m128","divps","latency","1.000086e+01","9.999137e-02"
"m128","divps","throughput","3.000362e+00","3.332931e-01"
"m128","divpd","latency","8.000488e+00","1.249924e-01"
"m128","divpd","throughput","4.000357e+00","2.499777e-01"
"m128","rsqrtps","latency","5.000958e+00","1.999617e-01"
"m128","rsqrtps","throughput","1.000324e+00","9.996765e-01"
"m128","rcpps","latency","5.000295e+00","1.999882e-01"
"m128","rcpps","throughput","1.000326e+00","9.996739e-01"
"m128","blendps","latency","1.000319e+00","9.996812e-01"
"m128","blendps","throughput","5.000288e-01","1.999885e+00"
"m128","blendvps","latency","1.000019e+00","9.999809e-01"
"m128","blendvps","throughput","5.000379e-01","1.999848e+00"
"m128","pshufb","latency","1.000025e+00","9.999746e-01"
"m128","pshufb","throughput","5.000271e-01","1.999891e+00"
"m128","shufps","latency","1.000023e+00","9.999769e-01"
"m128","shufps","throughput","5.004787e-01","1.998087e+00"
"m128","pmullw","latency","3.000161e+00","3.333154e-01"
"m128","pmullw","throughput","1.000022e+00","9.999780e-01"
"m128","phaddd","latency","2.000191e+00","4.999524e-01"
"m128","phaddd","throughput","2.000461e+00","4.998847e-01"
"m128","haddps","latency","2.000181e+00","4.999547e-01"
"m128","haddps","throughput","2.000041e+00","4.999898e-01"
"m128","pinsrd","latency","1.637952e+00","6.105185e-01"
"m128","pinsrd","throughput","1.310634e+00","7.629898e-01"
"m128","pinsrd->pexr","latency","8.000570e+00","1.249911e-01"
"m128","dpps","latency","1.500072e+01","6.666346e-02"
"m128","dpps","throughput","4.000471e+00","2.499706e-01"
"m128","cvtps2dq","latency","4.000338e+00","2.499789e-01"
"m128","cvtps2dq","throughput","1.000405e+00","9.995947e-01"
"reg64","popcnt","latency","1.000016e+00","9.999844e-01"
"reg64","popcnt","throughput","2.578347e-01","3.878454e+00"
"m128","aesenc","latency","4.000161e+00","2.499900e-01"
"m128","aesenc","throughput","5.000280e-01","1.999888e+00"
"m128","aesenclast","latency","4.000314e+00","2.499804e-01"
"m128","aesenclast","throughput","5.000318e-01","1.999873e+00"
"m128","aesdec","latency","4.000164e+00","2.499897e-01"
"m128","aesdec","throughput","5.000295e-01","1.999882e+00"
"m128","aesdeclast","latency","4.000485e+00","2.499697e-01"
"m128","aesdeclast","throughput","5.004705e-01","1.998120e+00"
"m256","movaps [mem]","latency","1.000345e+00","9.996551e-01"
"m256","movaps [mem]","throughput","1.000315e+00","9.996854e-01"
"m256","vmovdqu [mem+1]","latency","1.500044e+00","6.666470e-01"
"m256","vmovdqu [mem+1]","throughput","1.500181e+00","6.665861e-01"
"m256","vmovdqu [mem+63] (cross cache)","latency","1.500570e+00","6.664135e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.500042e+00","6.666478e-01"
"m256","vmovdqu [mem+2MB-1] (cross page)","latency","1.500412e+00","6.664835e-01"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","1.500045e+00","6.666469e-01"
"m256","xorps","latency","5.000407e-01","1.999837e+00"
"m256","xorps","throughput","5.005629e-01","1.997751e+00"
"m256","mulps","latency","3.000166e+00","3.333149e-01"
"m256","mulps","throughput","1.000021e+00","9.999788e-01"
"m256","addps","latency","3.000290e+00","3.333011e-01"
"m256","addps","throughput","1.000328e+00","9.996725e-01"
"m256","divps","latency","1.000058e+01","9.999418e-02"
"m256","divps","throughput","6.000354e+00","1.666568e-01"
"m256","divpd","latency","8.000800e+00","1.249875e-01"
"m256","divpd","throughput","8.000667e+00","1.249896e-01"
"m256","rsqrtps","latency","5.000446e+00","1.999822e-01"
"m256","rsqrtps","throughput","2.000303e+00","4.999243e-01"
"m256","rcpps","latency","5.000389e+00","1.999844e-01"
"m256","rcpps","throughput","2.001960e+00","4.995104e-01"
"m256","sqrtps","latency","8.003994e+00","1.249376e-01"
"m256","sqrtps","throughput","8.000455e+00","1.249929e-01"
"m256","vperm2f128","latency","3.002846e+00","3.330174e-01"
"m256","vperm2f128","throughput","3.000183e+00","3.333130e-01"
"m256","pxor","latency","5.000390e-01","1.999844e+00"
"m256","pxor","throughput","5.000379e-01","1.999848e+00"
"m256","paddd","latency","1.001350e+00","9.986514e-01"
"m256","paddd","throughput","6.670384e-01","1.499164e+00"
"m256","vpermps","latency","5.000856e+00","1.999658e-01"
"m256","vpermps","throughput","4.000613e+00","2.499617e-01"
