class,inst,l/t,cpi,ipc
"reg64","add","latency","1.049214e+00","9.530948e-01"
"reg64","add","throughput","2.578324e-01","3.878488e+00"
"reg64","lea","latency","1.001316e+00","9.986853e-01"
"reg64","lea","throughput","2.578300e-01","3.878524e+00"
"reg64","xor dst,dst","latency","2.578338e-01","3.878467e+00"
"reg64","xor dst,dst","throughput","2.580744e-01","3.874852e+00"
"reg64","xor","latency","2.578309e-01","3.878512e+00"
"reg64","xor","throughput","2.709609e-01","3.690569e+00"
"reg64","load","latency","4.000268e+00","2.499833e-01"
"reg64","load","throughput","6.252173e-01","1.599444e+00"
"reg64","crc32","latency","3.015817e+00","3.315851e-01"
"reg64","crc32","throughput","3.015818e+00","3.315850e-01"
"reg64","store [mem+0]->load[mem+0]","latency","2.617534e+01","3.820390e-02"
"reg64","store [mem+0]->load[mem+0]","throughput","2.745052e+00","3.642918e-01"
"reg64","store [mem+0]->load[mem+1]","latency","3.132426e+01","3.192413e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.700187e+01","5.881707e-02"
"m128","pxor","latency","2.500386e-01","3.999383e+00"
"m128","pxor","throughput","2.500377e-01","3.999397e+00"
"m128","padd","latency","1.000258e+00","9.997419e-01"
"m128","padd","throughput","3.333666e-01","2.999701e+00"
"m128","pmuldq","latency","3.002322e+00","3.330755e-01"
"m128","pmuldq","throughput","1.001453e+00","9.985493e-01"
"m128","loadps","throughput","5.000367e-01","1.999853e+00"
"m128","loadps->movq","latency","9.000456e+00","1.111055e-01"
"m128","movq->movq","latency","6.027003e+00","1.659200e-01"
"m128","movq->movq","throughput","1.000237e+00","9.997635e-01"
"m128","xorps","latency","2.500341e-01","3.999454e+00"
"m128","xorps","throughput","2.500405e-01","3.999352e+00"
"m128","addps","latency","3.000170e+00","3.333145e-01"
"m128","addps","throughput","5.007428e-01","1.997033e+00"
"m128","mulps","latency","3.008931e+00","3.323440e-01"
"m128","mulps","throughput","5.001918e-01","1.999233e+00"
"m128","divps","latency","1.000089e+01","9.999114e-02"
"m128","divps","throughput","3.000165e+00","3.333150e-01"
"m128","divpd","latency","8.001370e+00","1.249786e-01"
"m128","divpd","throughput","4.000181e+00","2.499887e-01"
"m128","rsqrtps","latency","5.000315e+00","1.999874e-01"
