class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000269e+00","9.997308e-01"
"reg64","add","throughput","2.578268e-01","3.878573e+00"
"reg64","lea","latency","1.000095e+00","9.999046e-01"
"reg64","lea","throughput","2.578267e-01","3.878574e+00"
"reg64","xor dst,dst","latency","2.578329e-01","3.878481e+00"
"reg64","xor dst,dst","throughput","2.578270e-01","3.878569e+00"
"reg64","xor","latency","2.578270e-01","3.878569e+00"
"reg64","xor","throughput","2.578309e-01","3.878512e+00"
"reg64","load","latency","4.000764e+00","2.499522e-01"
"reg64","load","throughput","6.250076e-01","1.599980e+00"
"reg64","crc32","latency","3.000095e+00","3.333228e-01"
"reg64","crc32","throughput","1.000016e+00","9.999837e-01"
"reg64","store [mem+0]->load[mem+0]","latency","3.755760e+01","2.662577e-02"
"reg64","store [mem+0]->load[mem+0]","throughput","3.914172e+00","2.554819e-01"
"reg64","store [mem+0]->load[mem+1]","latency","3.737585e+01","2.675525e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.400027e+01","7.142721e-02"
"m128","pxor","latency","2.500434e-01","3.999305e+00"
"m128","pxor","throughput","2.500324e-01","3.999481e+00"
"m128","padd","latency","1.000022e+00","9.999784e-01"
"m128","padd","throughput","3.333590e-01","2.999769e+00"
"m128","pmuldq","latency","3.000382e+00","3.332909e-01"
"m128","pmuldq","throughput","1.000007e+00","9.999934e-01"
"m128","loadps","throughput","5.000337e-01","1.999865e+00"
"m128","loadps->movq","latency","9.000611e+00","1.111036e-01"
"m128","movq->movq","latency","6.000164e+00","1.666621e-01"
"m128","movq->movq","throughput","1.000025e+00","9.999746e-01"
"m128","xorps","latency","2.500409e-01","3.999346e+00"
"m128","xorps","throughput","2.500178e-01","3.999715e+00"
"m128","addps","latency","3.000190e+00","3.333122e-01"
"m128","addps","throughput","5.000091e-01","1.999964e+00"
"m128","mulps","latency","3.000018e+00","3.333314e-01"
"m128","mulps","throughput","5.004734e-01","1.998108e+00"
"m128","divps","latency","1.000015e+01","9.999846e-02"
"m128","divps","throughput","3.500010e+00","2.857135e-01"
"m128","divpd","latency","1.300026e+01","7.692155e-02"
"m128","divpd","throughput","5.000017e+00","1.999993e-01"
"m128","rsqrtps","latency","5.000015e+00","1.999994e-01"
"m128","rsqrtps","throughput","1.000017e+00","9.999830e-01"
"m128","rcpps","latency","5.000265e+00","1.999894e-01"
"m128","rcpps","throughput","1.000009e+00","9.999907e-01"
"m128","blendps","latency","1.000016e+00","9.999841e-01"
"m128","blendps","throughput","3.333607e-01","2.999754e+00"
"m128","blendvps","latency","1.000273e+00","9.997271e-01"
"m128","blendvps","throughput","5.000358e-01","1.999857e+00"
"m128","pshufb","latency","1.000015e+00","9.999852e-01"
"m128","pshufb","throughput","5.000189e-01","1.999925e+00"
"m128","shufps","latency","1.000025e+00","9.999746e-01"
"m128","shufps","throughput","5.000201e-01","1.999919e+00"
"m128","pmullw","latency","3.000021e+00","3.333310e-01"
"m128","pmullw","throughput","1.000017e+00","9.999826e-01"
"m128","phaddd","latency","2.000254e+00","4.999364e-01"
"m128","phaddd","throughput","2.000036e+00","4.999910e-01"
"m128","haddps","latency","2.000239e+00","4.999401e-01"
"m128","haddps","throughput","2.000028e+00","4.999930e-01"
"m128","pinsrd","latency","1.625042e+00","6.153687e-01"
"m128","pinsrd","throughput","1.280722e+00","7.808094e-01"
"m128","pinsrd->pextr","latency","8.000020e+00","1.249997e-01"
"m128","dpps","latency","1.500032e+01","6.666524e-02"
"m128","dpps","throughput","4.000308e+00","2.499807e-01"
"m128","cvtps2dq","latency","3.000013e+00","3.333319e-01"
"m128","cvtps2dq","throughput","1.000007e+00","9.999930e-01"
"m128","pmovmskb","throughput","1.000025e+00","9.999750e-01"
"m128","pmovmskb->movq","latency","6.000280e+00","1.666589e-01"
"m128","movq->movq","latency","6.000020e+00","1.666661e-01"
"m128","movaps [mem]","latency","9.000190e+00","1.111088e-01"
"m128","movaps [mem]","throughput","5.000373e-01","1.999851e+00"
"m128","movdqu [mem+1]","latency","1.000016e+01","9.999839e-02"
"m128","movdqu [mem+1]","throughput","5.000428e-01","1.999829e+00"
"m128","movdqu [mem+63] (cross cache)","latency","1.100017e+01","9.090773e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","1.000030e+00","9.999701e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.100037e+01","9.090603e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","1.000030e+00","9.999703e-01"
"m128","pcmpistri","throughput","2.000019e+00","4.999952e-01"
"m128","pcmpistri->movq","latency","1.100039e+01","9.090590e-02"
"m128","pcmpistrm","throughput","2.000040e+00","4.999900e-01"
"m128","pcmpistrm","latency","7.000160e+00","1.428539e-01"
"m128","pcmpestri","throughput","3.000040e+00","3.333289e-01"
"m128","pcmpestri->movq","latency","1.100030e+01","9.090665e-02"
"m128","pcmpestrm","throughput","3.000039e+00","3.333290e-01"
"m128","pcmpestrm","latency","7.000179e+00","1.428535e-01"
"m256","movaps [mem]","throughput","5.000324e-01","1.999870e+00"
"m256","movaps [mem] -> movq","latency","9.000191e+00","1.111088e-01"
"m256","vmovdqu [mem+1]","throughput","5.000328e-01","1.999869e+00"
"m256","vmovdqu [mem+1] -> movq","latency","1.000016e+01","9.999841e-02"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.000029e+00","9.999708e-01"
"m256","vmovdqu [mem+63] (cross cache) -> movq","latency","1.100016e+01","9.090778e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","1.000035e+00","9.999650e-01"
"m256","vmovdqu [mem+2MB-1] (cross page) -> movq","latency","1.100019e+01","9.090748e-02"
"m256","vxorps","latency","2.500362e-01","3.999420e+00"
"m256","vxorps","throughput","2.500335e-01","3.999464e+00"
"m256","vmulps","latency","3.000016e+00","3.333316e-01"
"m256","vmulps","throughput","5.000159e-01","1.999936e+00"
"m256","vaddps","latency","3.000351e+00","3.332944e-01"
"m256","vaddps","throughput","5.000212e-01","1.999915e+00"
"m256","vdivps","latency","1.000016e+01","9.999842e-02"
"m256","vdivps","throughput","3.500012e+00","2.857133e-01"
"m256","vdivpd","latency","1.300029e+01","7.692133e-02"
"m256","vdivpd","throughput","5.000186e+00","1.999926e-01"
"m256","vrsqrtps","latency","5.000205e+00","1.999918e-01"
"m256","vrsqrtps","throughput","1.000010e+00","9.999905e-01"
"m256","vrcpps","latency","5.000016e+00","1.999994e-01"
"m256","vrcpps","throughput","1.000223e+00","9.997775e-01"
"m256","vsqrtps","latency","1.400029e+01","7.142709e-02"
"m256","vsqrtps","throughput","5.500256e+00","1.818097e-01"
"m256","vperm2f128","latency","3.000014e+00","3.333318e-01"
"m256","vperm2f128","throughput","1.000017e+00","9.999835e-01"
"m256","vpxor","latency","2.500441e-01","3.999295e+00"
"m256","vpxor","throughput","2.500331e-01","3.999471e+00"
"m256","vpaddd","latency","1.000015e+00","9.999850e-01"
"m256","vpaddd","throughput","3.333556e-01","2.999800e+00"
"m256","vpermps","latency","8.000187e+00","1.249971e-01"
"m256","vpermps","throughput","2.000008e+00","4.999980e-01"
"m256","vpermpd","latency","6.000162e+00","1.666622e-01"
"m256","vpermpd","throughput","1.275884e+00","7.837703e-01"
"m256","vpblendvb","latency","1.000018e+00","9.999824e-01"
"m256","vpblendvb","throughput","1.000010e+00","9.999898e-01"
"m256","vpmovmskb","throughput","1.000203e+00","9.997972e-01"
"m256","vpmovsxwd","latency","4.000021e+00","2.499987e-01"
"m256","vpmovsxwd","throughput","1.150021e+00","8.695496e-01"
"m256","vpgatherdd","latency","2.400652e+01","4.165535e-02"
"m256","vpgatherdd","throughput","1.600018e+01","6.249930e-02"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.875032e+01","5.333242e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","4.000039e+00","2.499976e-01"
"m256","vgatherdpd","latency","1.900037e+01","5.263054e-02"
"m256","vgatherdpd","throughput","9.007475e+00","1.110189e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.477809e+01","6.766774e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","2.000035e+00","4.999912e-01"
"m256","vpshufb","latency","1.000016e+00","9.999843e-01"
"m256","vpshufb","throughput","5.000208e-01","1.999917e+00"
"m256","vfmaps","latency","5.000238e+00","1.999905e-01"
"m256","vfmaps","throughput","5.000136e-01","1.999946e+00"
"m256","vfmapd","latency","5.000278e+00","1.999889e-01"
"m256","vfmapd","throughput","5.000180e-01","1.999928e+00"
"m128","vfmaps","latency","5.000275e+00","1.999890e-01"
"m128","vfmaps","throughput","5.000159e-01","1.999936e+00"
"m128","vfmapd","latency","5.000020e+00","1.999992e-01"
"m128","vfmapd","throughput","5.000203e-01","1.999919e+00"
"reg64","popcnt","latency","1.000179e+00","9.998210e-01"
"reg64","popcnt","throughput","2.588127e-01","3.863799e+00"
"m128","aesenc","latency","4.000202e+00","2.499874e-01"
"m128","aesenc","throughput","5.000150e-01","1.999940e+00"
"m128","aesenclast","latency","4.000205e+00","2.499872e-01"
"m128","aesenclast","throughput","5.000273e-01","1.999891e+00"
"m128","aesdec","latency","4.000198e+00","2.499876e-01"
"m128","aesdec","throughput","5.000237e-01","1.999905e+00"
"m128","aesdeclast","latency","4.000187e+00","2.499883e-01"
"m128","aesdeclast","throughput","5.000150e-01","1.999940e+00"
"m128","pclmulqdq","latency","4.577111e+00","2.184784e-01"
