class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000119e+00","9.998809e-01"
"reg64","add","throughput","2.539297e-01","3.938097e+00"
"reg64","lea","latency","1.000082e+00","9.999178e-01"
"reg64","lea","throughput","5.001687e-01","1.999326e+00"
"reg64","xor dst,dst","latency","2.539347e-01","3.938020e+00"
"reg64","xor dst,dst","throughput","2.539333e-01","3.938042e+00"
"reg64","xor","latency","2.539316e-01","3.938068e+00"
"reg64","xor","throughput","2.539319e-01","3.938064e+00"
"reg64","load","latency","5.000207e+00","1.999917e-01"
"reg64","load","throughput","6.251367e-01","1.599650e+00"
"reg64","crc32","latency","3.000139e+00","3.333179e-01"
"reg64","crc32","throughput","1.000078e+00","9.999218e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.748479e+00","1.290576e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.349518e+00","7.410055e-01"
"reg64","store [mem+0]->load[mem+1]","latency","1.900092e+01","5.262902e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.300067e+01","7.691911e-02"
"m128","pxor","latency","2.569947e-01","3.891131e+00"
"m128","pxor","throughput","2.572746e-01","3.886897e+00"
"m128","padd","latency","1.000324e+00","9.996765e-01"
"m128","padd","throughput","3.333658e-01","2.999708e+00"
"m128","pmuldq","latency","5.000254e+00","1.999898e-01"
"m128","pmuldq","throughput","5.000362e-01","1.999855e+00"
"m128","loadps","throughput","5.000432e-01","1.999827e+00"
"m128","loadps->movq","latency","8.000384e+00","1.249940e-01"
"m128","movq->movq","latency","4.000250e+00","2.499844e-01"
"m128","movq->movq","throughput","1.000299e+00","9.997015e-01"
"m128","xorps","latency","2.569864e-01","3.891256e+00"
"m128","xorps","throughput","2.569856e-01","3.891269e+00"
"m128","addps","latency","4.000245e+00","2.499847e-01"
"m128","addps","throughput","5.000288e-01","1.999885e+00"
"m128","mulps","latency","4.000247e+00","2.499846e-01"
"m128","mulps","throughput","5.000305e-01","1.999878e+00"
"m128","divps","latency","1.100059e+01","9.090425e-02"
"m128","divps","throughput","3.000259e+00","3.333046e-01"
"m128","divpd","latency","1.300070e+01","7.691891e-02"
"m128","divpd","throughput","4.000137e+00","2.499914e-01"
"m128","rsqrtps","latency","4.000247e+00","2.499845e-01"
"m128","rsqrtps","throughput","1.000293e+00","9.997074e-01"
"m128","rcpps","latency","4.000247e+00","2.499845e-01"
"m128","rcpps","throughput","1.000030e+00","9.999697e-01"
"m128","blendps","latency","1.000023e+00","9.999773e-01"
"m128","blendps","throughput","3.336739e-01","2.996938e+00"
"m128","blendvps","latency","1.000025e+00","9.999750e-01"
"m128","blendvps","throughput","5.069909e-01","1.972422e+00"
"m128","pshufb","latency","1.000029e+00","9.999710e-01"
"m128","pshufb","throughput","1.000027e+00","9.999733e-01"
"m128","shufps","latency","1.000028e+00","9.999725e-01"
"m128","shufps","throughput","1.000291e+00","9.997093e-01"
"m128","pmullw","latency","5.000778e+00","1.999689e-01"
"m128","pmullw","throughput","5.000284e-01","1.999886e+00"
"m128","phaddd","latency","3.000152e+00","3.333164e-01"
"m128","phaddd","throughput","2.000288e+00","4.999281e-01"
"m128","haddps","latency","3.000150e+00","3.333167e-01"
"m128","haddps","throughput","2.000157e+00","4.999608e-01"
"m128","pinsrd","latency","2.000140e+00","4.999650e-01"
"m128","pinsrd","throughput","2.000025e+00","4.999937e-01"
"m128","pinsrd->pextr","latency","6.000374e+00","1.666563e-01"
"m128","dpps","latency","1.300070e+01","7.691892e-02"
"m128","dpps","throughput","1.598587e+00","6.255524e-01"
"m128","cvtps2dq","latency","4.000249e+00","2.499844e-01"
"m128","cvtps2dq","throughput","5.000248e-01","1.999901e+00"
"m128","pmovmskb","throughput","1.000027e+00","9.999733e-01"
"m128","pmovmskb->movq","latency","4.000257e+00","2.499840e-01"
"m128","movq->movq","latency","4.000245e+00","2.499847e-01"
