class,inst,l/t,cpi,ipc
"reg64","add","latency","1.007032e+00","9.930174e-01"
"reg64","add","throughput","3.515793e-01","2.844308e+00"
"reg64","lea","latency","1.000146e+00","9.998545e-01"
"reg64","lea","throughput","3.517376e-01","2.843028e+00"
"reg64","xor dst,dst","latency","3.516530e-01","2.843713e+00"
"reg64","xor dst,dst","throughput","3.515844e-01","2.844267e+00"
"reg64","xor","latency","3.517035e-01","2.843304e+00"
"reg64","xor","throughput","3.516030e-01","2.844117e+00"
"reg64","load","latency","3.000242e+00","3.333065e-01"
"reg64","load","throughput","1.000135e+00","9.998654e-01"
"reg64","crc32","latency","3.000229e+00","3.333079e-01"
"reg64","crc32","throughput","1.245751e+00","8.027289e-01"
"reg64","store [mem+0]->load[mem+0]","latency","5.000406e+00","1.999838e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.094181e+00","9.139255e-01"
"reg64","store [mem+0]->load[mem+1]","latency","1.302316e+01","7.678626e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","9.344440e+00","1.070155e-01"
"m128","pxor","latency","5.000551e-01","1.999780e+00"
"m128","pxor","throughput","5.000447e-01","1.999821e+00"
"m128","padd","latency","1.000364e+00","9.996360e-01"
"m128","padd","throughput","5.000333e-01","1.999867e+00"
"m128","pmuldq","latency","4.000534e+00","2.499667e-01"
"m128","pmuldq","throughput","1.000375e+00","9.996252e-01"
"m128","loadps","throughput","1.000284e+00","9.997163e-01"
"m128","loadps->movq","latency","8.000585e+00","1.249909e-01"
"m128","movq->movq","latency","8.000462e+00","1.249928e-01"
"m128","movq->movq","throughput","2.250298e+00","4.443856e-01"
"m128","xorps","latency","5.000331e-01","1.999868e+00"
"m128","xorps","throughput","5.004205e-01","1.998320e+00"
"m128","addps","latency","3.000260e+00","3.333045e-01"
"m128","addps","throughput","1.000063e+00","9.999368e-01"
"m128","mulps","latency","4.000248e+00","2.499845e-01"
"m128","mulps","throughput","1.000056e+00","9.999436e-01"
"m128","divps","latency","2.000133e+01","4.999667e-02"
"m128","divps","throughput","1.900127e+01","5.262805e-02"
"m128","divpd","latency","2.000137e+01","4.999657e-02"
"m128","divpd","throughput","1.900141e+01","5.262766e-02"
"m128","rsqrtps","latency","9.000630e+00","1.111033e-01"
"m128","rsqrtps","throughput","6.028249e+00","1.658857e-01"
"m128","rcpps","latency","9.000598e+00","1.111037e-01"
"m128","rcpps","throughput","6.028185e+00","1.658874e-01"
"m128","blendps","latency","1.000269e+00","9.997311e-01"
"m128","blendps","throughput","5.000369e-01","1.999853e+00"
"m128","blendvps","latency","4.028202e+00","2.482497e-01"
"m128","blendvps","throughput","5.972618e+00","1.674308e-01"
"m128","pshufb","latency","1.000256e+00","9.997443e-01"
"m128","pshufb","throughput","1.000221e+00","9.997792e-01"
"m128","shufps","latency","1.000049e+00","9.999510e-01"
"m128","shufps","throughput","5.003173e-01","1.998732e+00"
"m128","pmullw","latency","4.000310e+00","2.499806e-01"
"m128","pmullw","throughput","1.000185e+00","9.998150e-01"
"m128","phaddd","latency","4.083267e+00","2.449020e-01"
"m128","phaddd","throughput","4.034765e+00","2.478459e-01"
"m128","haddps","latency","4.030989e+00","2.480781e-01"
"m128","haddps","throughput","4.030980e+00","2.480786e-01"
"m128","pinsrd","latency","1.027933e+00","9.728261e-01"
"m128","pinsrd","throughput","1.027827e+00","9.729260e-01"
"m128","pinsrd->pextr","latency","8.000925e+00","1.249855e-01"
"m128","dpps","latency","1.373245e+01","7.282020e-02"
"m128","dpps","throughput","1.002853e+01","9.971550e-02"
"m128","cvtps2dq","latency","4.000254e+00","2.499841e-01"
"m128","cvtps2dq","throughput","1.000417e+00","9.995831e-01"
"m128","pmovmskb","throughput","1.258920e+00","7.943318e-01"
"m128","pmovmskb->movq","latency","8.000628e+00","1.249902e-01"
"m128","movq->movq","latency","8.000462e+00","1.249928e-01"
"m128","movaps [mem]","latency","8.000560e+00","1.249913e-01"
"m128","movaps [mem]","throughput","1.000470e+00","9.995300e-01"
"m128","movdqu [mem+1]","latency","8.000648e+00","1.249899e-01"
"m128","movdqu [mem+1]","throughput","1.000045e+00","9.999551e-01"
"m128","movdqu [mem+63] (cross cache)","latency","1.400098e+01","7.142359e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","2.000180e+00","4.999551e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.735308e+01","5.762667e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","1.235277e+01","8.095349e-02"
"m128","pcmpistri","throughput","8.000857e+00","1.249866e-01"
"m128","pcmpistri->movq","latency","1.800149e+01","5.555095e-02"
"m128","pcmpistrm","throughput","7.001250e+00","1.428316e-01"
"m128","pcmpistrm","latency","1.200225e+01","8.331768e-02"
"m128","pcmpestri","throughput","1.300111e+01","7.691652e-02"
"m128","pcmpestri->movq","latency","2.300176e+01","4.347493e-02"
"m128","pcmpestrm","throughput","1.402905e+01","7.128067e-02"
"m128","pcmpestrm","latency","1.701866e+01","5.875903e-02"
"reg64","popcnt","latency","3.001136e+00","3.332072e-01"
"reg64","popcnt","throughput","1.248057e+00","8.012454e-01"
"m128","aesenc","latency","6.002019e+00","1.666106e-01"
"m128","aesenc","throughput","2.000284e+00","4.999289e-01"
"m128","aesenclast","latency","6.000530e+00","1.666520e-01"
"m128","aesenclast","throughput","2.000319e+00","4.999204e-01"
"m128","aesdec","latency","6.000445e+00","1.666543e-01"
"m128","aesdec","throughput","2.000785e+00","4.998039e-01"
"m128","aesdeclast","latency","6.000695e+00","1.666474e-01"
"m128","aesdeclast","throughput","2.000209e+00","4.999477e-01"
"m128","pclmulqdq","latency","6.757296e+00","1.479882e-01"
"m128","pclmulqdq","throughput","4.028118e+00","2.482549e-01"
