class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000572e+00","9.994279e-01"
"reg64","add","throughput","2.540511e-01","3.936216e+00"
"reg64","lea","latency","1.000022e+00","9.999783e-01"
"reg64","lea","throughput","5.000192e-01","1.999923e+00"
"reg64","xor dst,dst","latency","2.539327e-01","3.938051e+00"
"reg64","xor dst,dst","throughput","2.539347e-01","3.938020e+00"
"reg64","xor","latency","2.539340e-01","3.938031e+00"
"reg64","xor","throughput","2.539349e-01","3.938018e+00"
"reg64","load","latency","5.000271e+00","1.999892e-01"
"reg64","load","throughput","6.250216e-01","1.599945e+00"
"reg64","crc32","latency","3.000280e+00","3.333022e-01"
"reg64","crc32","throughput","1.000180e+00","9.998205e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.875058e+00","1.269832e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.349259e+00","7.411477e-01"
"reg64","store [mem+0]->load[mem+1]","latency","1.900094e+01","5.262896e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.300067e+01","7.691909e-02"
"m128","pxor","latency","2.569987e-01","3.891070e+00"
"m128","pxor","throughput","2.570135e-01","3.890846e+00"
"m128","padd","latency","1.000040e+00","9.999595e-01"
"m128","padd","throughput","3.333641e-01","2.999723e+00"
"m128","pmuldq","latency","5.000251e+00","1.999900e-01"
"m128","pmuldq","throughput","5.002602e-01","1.998960e+00"
"m128","loadps","throughput","5.000441e-01","1.999824e+00"
"m128","loadps->movq","latency","8.000376e+00","1.249941e-01"
"m128","movq->movq","latency","4.000185e+00","2.499884e-01"
"m128","movq->movq","throughput","1.000032e+00","9.999684e-01"
"m128","xorps","latency","2.570404e-01","3.890438e+00"
"m128","xorps","throughput","2.569892e-01","3.891215e+00"
"m128","addps","latency","4.000415e+00","2.499741e-01"
"m128","addps","throughput","5.000839e-01","1.999664e+00"
"m128","mulps","latency","4.000250e+00","2.499844e-01"
"m128","mulps","throughput","5.000286e-01","1.999886e+00"
"m128","divps","latency","1.100049e+01","9.090506e-02"
"m128","divps","throughput","3.000174e+00","3.333140e-01"
"m128","divpd","latency","1.300060e+01","7.691955e-02"
"m128","divpd","throughput","4.000171e+00","2.499893e-01"
"m128","rsqrtps","latency","4.000260e+00","2.499838e-01"
"m128","rsqrtps","throughput","1.000323e+00","9.996771e-01"
"m128","rcpps","latency","4.000148e+00","2.499908e-01"
"m128","rcpps","throughput","1.000031e+00","9.999693e-01"
"m128","blendps","latency","1.000025e+00","9.999754e-01"
"m128","blendps","throughput","3.336826e-01","2.996860e+00"
"m128","blendvps","latency","1.000436e+00","9.995645e-01"
"m128","blendvps","throughput","5.070523e-01","1.972183e+00"
"m128","pshufb","latency","1.000030e+00","9.999699e-01"
"m128","pshufb","throughput","1.000031e+00","9.999686e-01"
"m128","shufps","latency","1.000030e+00","9.999701e-01"
"m128","shufps","throughput","1.000377e+00","9.996229e-01"
"m128","pmullw","latency","5.000262e+00","1.999895e-01"
"m128","pmullw","throughput","5.000405e-01","1.999838e+00"
"m128","phaddd","latency","3.000162e+00","3.333153e-01"
"m128","phaddd","throughput","2.000153e+00","4.999619e-01"
"m128","haddps","latency","3.000145e+00","3.333172e-01"
"m128","haddps","throughput","2.000157e+00","4.999607e-01"
"m128","pinsrd","latency","2.000037e+00","4.999908e-01"
"m128","pinsrd","throughput","2.000154e+00","4.999614e-01"
"m128","pinsrd->pextr","latency","6.000298e+00","1.666584e-01"
"m128","dpps","latency","1.300062e+01","7.691939e-02"
"m128","dpps","throughput","1.591809e+00","6.282160e-01"
"m128","cvtps2dq","latency","4.000168e+00","2.499895e-01"
"m128","cvtps2dq","throughput","5.000511e-01","1.999796e+00"
"m128","pmovmskb","throughput","1.000552e+00","9.994478e-01"
"m128","pmovmskb->movq","latency","4.000297e+00","2.499814e-01"
"m128","movq->movq","latency","4.000450e+00","2.499719e-01"
"m128","movaps [mem]","latency","8.000376e+00","1.249941e-01"
"m128","movaps [mem]","throughput","5.000460e-01","1.999816e+00"
"m128","movdqu [mem+1]","latency","8.000503e+00","1.249921e-01"
"m128","movdqu [mem+1]","throughput","5.001424e-01","1.999431e+00"
"m128","movdqu [mem+63] (cross cache)","latency","1.400071e+01","7.142494e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","1.000094e+00","9.999061e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.500085e+01","6.666290e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","3.790094e+00","2.638457e-01"
"m128","pcmpistri","throughput","3.000348e+00","3.332947e-01"
"m128","pcmpistri->movq","latency","1.200059e+01","8.332922e-02"
"m128","pcmpistrm","throughput","3.000206e+00","3.333104e-01"
"m128","pcmpistrm","latency","8.843095e+00","1.130826e-01"
"m128","pcmpestri","throughput","4.028120e+00","2.482547e-01"
"m128","pcmpestri->movq","latency","1.222113e+01","8.182546e-02"
"m128","pcmpestrm","throughput","5.028100e+00","1.988823e-01"
"m128","pcmpestrm","latency","9.000483e+00","1.111051e-01"
"m256","movaps [mem]","throughput","5.000769e-01","1.999692e+00"
"m256","movaps [mem] -> movq","latency","9.000519e+00","1.111047e-01"
"m256","vmovdqu [mem+1]","throughput","5.000727e-01","1.999709e+00"
"m256","vmovdqu [mem+1] -> movq","latency","9.000529e+00","1.111046e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.000410e+00","9.995901e-01"
"m256","vmovdqu [mem+63] (cross cache) -> movq","latency","1.400071e+01","7.142495e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","3.779146e+00","2.646100e-01"
"m256","vmovdqu [mem+2MB-1] (cross page) -> movq","latency","1.600177e+01","6.249307e-02"
"m256","vxorps","latency","2.570243e-01","3.890682e+00"
"m256","vxorps","throughput","2.570322e-01","3.890563e+00"
"m256","vmulps","latency","4.000289e+00","2.499819e-01"
"m256","vmulps","throughput","5.000335e-01","1.999866e+00"
"m256","vaddps","latency","4.000249e+00","2.499845e-01"
"m256","vaddps","throughput","5.000305e-01","1.999878e+00"
"m256","vdivps","latency","1.100066e+01","9.090361e-02"
"m256","vdivps","throughput","5.000296e+00","1.999882e-01"
"m256","vdivpd","latency","1.300074e+01","7.691869e-02"
"m256","vdivpd","throughput","8.000452e+00","1.249929e-01"
"m256","vrsqrtps","latency","4.000327e+00","2.499796e-01"
"m256","vrsqrtps","throughput","1.000382e+00","9.996183e-01"
"m256","vrcpps","latency","4.000168e+00","2.499895e-01"
"m256","vrcpps","throughput","1.000066e+00","9.999339e-01"
"m256","vsqrtps","latency","1.200064e+01","8.332892e-02"
"m256","vsqrtps","throughput","6.000417e+00","1.666551e-01"
"m256","vperm2f128","latency","3.000172e+00","3.333142e-01"
"m256","vperm2f128","throughput","1.000059e+00","9.999411e-01"
"m256","vpxor","latency","2.573901e-01","3.885153e+00"
"m256","vpxor","throughput","2.570265e-01","3.890650e+00"
"m256","vpaddd","latency","1.000558e+00","9.994425e-01"
"m256","vpaddd","throughput","3.334179e-01","2.999239e+00"
"m256","vpermps","latency","3.000142e+00","3.333175e-01"
"m256","vpermps","throughput","1.000496e+00","9.995041e-01"
"m256","vpermpd","latency","3.000169e+00","3.333146e-01"
"m256","vpermpd","throughput","1.000066e+00","9.999343e-01"
"m256","vpblendvb","latency","2.000192e+00","4.999520e-01"
"m256","vpblendvb","throughput","1.000040e+00","9.999604e-01"
"m256","vpmovmskb","throughput","1.000061e+00","9.999390e-01"
"m256","vpmovsxwd","latency","3.000250e+00","3.333055e-01"
"m256","vpmovsxwd","throughput","1.000360e+00","9.996396e-01"
"m256","vpgatherdd","latency","2.200110e+01","4.545227e-02"
"m256","vpgatherdd","throughput","5.000291e+00","1.999884e-01"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.822330e+01","5.487481e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","7.000430e+00","1.428484e-01"
"m256","vgatherdpd","latency","2.000098e+01","4.999755e-02"
"m256","vgatherdpd","throughput","4.000281e+00","2.499824e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.300076e+01","7.691856e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","3.001265e+00","3.331928e-01"
"m256","vpshufb","latency","1.000063e+00","9.999371e-01"
"m256","vpshufb","throughput","1.000056e+00","9.999443e-01"
"m256","vfmaps","latency","4.000254e+00","2.499841e-01"
"m256","vfmaps","throughput","5.000632e-01","1.999747e+00"
"m256","vfmapd","latency","4.000286e+00","2.499821e-01"
"m256","vfmapd","throughput","5.000761e-01","1.999696e+00"
"m128","vfmaps","latency","4.000250e+00","2.499844e-01"
"m128","vfmaps","throughput","5.000244e-01","1.999903e+00"
"m128","vfmapd","latency","4.000352e+00","2.499780e-01"
"m128","vfmapd","throughput","5.000307e-01","1.999877e+00"
"reg64","popcnt","latency","3.000151e+00","3.333165e-01"
"reg64","popcnt","throughput","1.000082e+00","9.999185e-01"
"m128","aesenc","latency","4.000251e+00","2.499843e-01"
"m128","aesenc","throughput","1.000029e+00","9.999708e-01"
"m128","aesenclast","latency","4.000256e+00","2.499840e-01"
"m128","aesenclast","throughput","1.000032e+00","9.999680e-01"
