class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000219e+00","9.997815e-01"
"reg64","add","throughput","2.656757e-01","3.763988e+00"
"reg64","lea","latency","1.000019e+00","9.999806e-01"
"reg64","lea","throughput","5.000532e-01","1.999787e+00"
"reg64","xor dst,dst","latency","2.661717e-01","3.756973e+00"
"reg64","xor dst,dst","throughput","2.659013e-01","3.760794e+00"
"reg64","xor","latency","2.656692e-01","3.764079e+00"
"reg64","xor","throughput","2.662120e-01","3.756405e+00"
"reg64","load","latency","5.010743e+00","1.995712e-01"
"reg64","load","throughput","6.251683e-01","1.599569e+00"
"reg64","crc32","latency","3.000149e+00","3.333167e-01"
"reg64","crc32","throughput","1.000017e+00","9.999827e-01"
"reg64","store [mem+0]->load[mem+0]","latency","1.219199e+01","8.202110e-02"
"reg64","store [mem+0]->load[mem+0]","throughput","1.270070e+00","7.873581e-01"
"reg64","store [mem+0]->load[mem+1]","latency","2.000366e+01","4.999085e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.400065e+01","7.142527e-02"
"m128","pxor","latency","2.779562e-01","3.597689e+00"
"m128","pxor","throughput","2.778522e-01","3.599036e+00"
"m128","padd","latency","1.000526e+00","9.994741e-01"
"m128","padd","throughput","5.001977e-01","1.999209e+00"
"m128","pmuldq","latency","5.000263e+00","1.999895e-01"
"m128","pmuldq","throughput","1.000072e+00","9.999282e-01"
"m128","loadps","throughput","5.001884e-01","1.999247e+00"
"m128","loadps->movq","latency","7.000783e+00","1.428412e-01"
"m128","movq->movq","latency","2.000164e+00","4.999590e-01"
"m128","movq->movq","throughput","1.000105e+00","9.998949e-01"
"m128","xorps","latency","2.779717e-01","3.597489e+00"
"m128","xorps","throughput","2.779439e-01","3.597848e+00"
"m128","addps","latency","3.000144e+00","3.333173e-01"
"m128","addps","throughput","1.000313e+00","9.996873e-01"
"m128","mulps","latency","5.000260e+00","1.999896e-01"
"m128","mulps","throughput","5.001286e-01","1.999486e+00"
"m128","divps","latency","1.000843e+01","9.991579e-02"
"m128","divps","throughput","7.034067e+00","1.421653e-01"
"m128","divpd","latency","1.000920e+01","9.990812e-02"
"m128","divpd","throughput","8.019140e+00","1.247017e-01"
"m128","rsqrtps","latency","5.000263e+00","1.999895e-01"
"m128","rsqrtps","throughput","1.000215e+00","9.997852e-01"
"m128","rcpps","latency","5.000263e+00","1.999895e-01"
"m128","rcpps","throughput","1.000246e+00","9.997536e-01"
"m128","blendps","latency","1.000251e+00","9.997491e-01"
"m128","blendps","throughput","3.334940e-01","2.998555e+00"
"m128","blendvps","latency","2.000229e+00","4.999427e-01"
"m128","blendvps","throughput","2.000036e+00","4.999909e-01"
"m128","pshufb","latency","1.000888e+00","9.991128e-01"
"m128","pshufb","throughput","1.000065e+00","9.999345e-01"
"m128","shufps","latency","1.000062e+00","9.999383e-01"
"m128","shufps","throughput","1.000093e+00","9.999074e-01"
"m128","pmullw","latency","5.000262e+00","1.999895e-01"
"m128","pmullw","throughput","1.000091e+00","9.999091e-01"
"m128","phaddd","latency","3.000480e+00","3.332800e-01"
"m128","phaddd","throughput","2.000186e+00","4.999535e-01"
"m128","haddps","latency","3.000158e+00","3.333157e-01"
"m128","haddps","throughput","2.000041e+00","4.999898e-01"
"m128","pinsrd","latency","2.000191e+00","4.999524e-01"
"m128","pinsrd","throughput","2.000156e+00","4.999610e-01"
"m128","pinsrd->pexr","latency","4.000277e+00","2.499827e-01"
"m128","dpps","latency","1.401425e+01","7.135593e-02"
"m128","dpps","throughput","2.000167e+00","4.999582e-01"
"m128","cvtps2dq","latency","3.000262e+00","3.333042e-01"
"m128","cvtps2dq","throughput","1.000062e+00","9.999381e-01"
"reg64","popcnt","latency","3.000237e+00","3.333070e-01"
"reg64","popcnt","throughput","1.000123e+00","9.998775e-01"
"m128","aesenc","latency","7.000410e+00","1.428488e-01"
"m128","aesenc","throughput","1.000065e+00","9.999347e-01"
"m128","aesenclast","latency","7.000379e+00","1.428494e-01"
"m128","aesenclast","throughput","1.000276e+00","9.997244e-01"
"m128","aesdec","latency","7.000263e+00","1.428518e-01"
"m128","aesdec","throughput","1.000096e+00","9.999038e-01"
"m128","aesdeclast","latency","7.000263e+00","1.428518e-01"
"m128","aesdeclast","throughput","1.000134e+00","9.998659e-01"
"m256","movaps [mem]","latency","1.000940e+00","9.990608e-01"
"m256","movaps [mem]","throughput","5.001163e-01","1.999535e+00"
"m256","vmovdqu [mem+1]","latency","1.000076e+00","9.999241e-01"
"m256","vmovdqu [mem+1]","throughput","5.010683e-01","1.995736e+00"
"m256","vmovdqu [mem+63] (cross cache)","latency","1.000083e+00","9.999167e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.000128e+00","9.998720e-01"
"m256","vmovdqu [mem+2MB-1] (cross page)","latency","3.100160e+01","3.225640e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","3.100160e+01","3.225640e-02"
"m256","xorps","latency","2.779607e-01","3.597631e+00"
"m256","xorps","throughput","2.779371e-01","3.597936e+00"
"m256","mulps","latency","5.000263e+00","1.999895e-01"
"m256","mulps","throughput","5.000718e-01","1.999713e+00"
"m256","addps","latency","3.000144e+00","3.333174e-01"
"m256","addps","throughput","1.000639e+00","9.993617e-01"
"m256","divps","latency","1.809844e+01","5.525338e-02"
"m256","divps","throughput","1.410729e+01","7.088532e-02"
"m256","divpd","latency","1.907993e+01","5.241109e-02"
"m256","divpd","throughput","1.613453e+01","6.197888e-02"
"m256","rsqrtps","latency","7.004499e+00","1.427654e-01"
"m256","rsqrtps","throughput","2.000162e+00","4.999595e-01"
"m256","rcpps","latency","7.001399e+00","1.428286e-01"
"m256","rcpps","throughput","2.001819e+00","4.995457e-01"
"m256","sqrtps","latency","1.808644e+01","5.529004e-02"
"m256","sqrtps","throughput","1.410156e+01","7.091412e-02"
"m256","vperm2f128","latency","3.002276e+00","3.330807e-01"
"m256","vperm2f128","throughput","1.000279e+00","9.997212e-01"
"m256","pxor","latency","2.780134e-01","3.596948e+00"
"m256","pxor","throughput","2.779922e-01","3.597223e+00"
"m256","paddd","latency","1.000516e+00","9.994840e-01"
"m256","paddd","throughput","5.001782e-01","1.999287e+00"
"m256","vpermps","latency","3.000144e+00","3.333174e-01"
"m256","vpermps","throughput","1.000099e+00","9.999013e-01"
"m256","vpermpd","latency","3.000812e+00","3.332432e-01"
"m256","vpermpd","throughput","1.000895e+00","9.991063e-01"
"m256","vpmovsxwd","latency","3.001752e+00","3.331388e-01"
"m256","vpmovsxwd","throughput","1.000093e+00","9.999074e-01"
"m256","vpgatherdd","latency","2.012555e+01","4.968808e-02"
"m256","vpgatherdd","throughput","1.108836e+01","9.018468e-02"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.700188e+01","5.881703e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","8.013089e+00","1.247958e-01"
"m256","vgatherdpd","latency","1.514010e+01","6.604976e-02"
"m256","vgatherdpd","throughput","8.087612e+00","1.236459e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.201304e+01","8.324284e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","4.000316e+00","2.499802e-01"
"m256","vpshufb","latency","1.000215e+00","9.997847e-01"
"m256","vpshufb","throughput","1.000261e+00","9.997390e-01"
"m256","vfmaps","latency","5.001401e+00","1.999440e-01"
"m256","vfmaps","throughput","5.011008e-01","1.995607e+00"
"m256","vfmapd","latency","5.000264e+00","1.999895e-01"
"m256","vfmapd","throughput","5.002753e-01","1.998899e+00"
"m128","vfmaps","latency","5.000296e+00","1.999881e-01"
"m128","vfmaps","throughput","5.010043e-01","1.995991e+00"
"m128","vfmapd","latency","5.000297e+00","1.999881e-01"
"m128","vfmapd","throughput","5.002647e-01","1.998942e+00"
