class,inst,l/t,cpi,ipc
"reg64","add","latency","1.001016e+00","9.989855e-01"
"reg64","add","throughput","2.539483e-01","3.937809e+00"
"reg64","lea","latency","1.000020e+00","9.999800e-01"
"reg64","lea","throughput","5.000229e-01","1.999908e+00"
"reg64","xor dst,dst","latency","2.539397e-01","3.937942e+00"
"reg64","xor dst,dst","throughput","2.539382e-01","3.937966e+00"
"reg64","xor","latency","2.539400e-01","3.937938e+00"
"reg64","xor","throughput","2.539386e-01","3.937960e+00"
"reg64","load","latency","5.001832e+00","1.999267e-01"
"reg64","load","throughput","6.257347e-01","1.598121e+00"
"reg64","crc32","latency","3.000437e+00","3.332848e-01"
"reg64","crc32","throughput","1.000018e+00","9.999815e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.750304e+00","1.290272e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.349813e+00","7.408436e-01"
"reg64","store [mem+0]->load[mem+1]","latency","1.900192e+01","5.262626e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.300143e+01","7.691465e-02"
"m128","pxor","latency","1.002576e+00","9.974311e-01"
"m128","pxor","throughput","3.334221e-01","2.999201e+00"
"m128","padd","latency","1.000331e+00","9.996695e-01"
"m128","padd","throughput","3.860488e-01","2.590346e+00"
"m128","pmuldq","latency","5.001862e+00","1.999255e-01"
"m128","pmuldq","throughput","5.000829e-01","1.999669e+00"
"m128","loadps","throughput","5.000873e-01","1.999651e+00"
"m128","loadps->movq","latency","1.000228e+01","9.997724e-02"
"m128","movq->movq","latency","1.204574e+01","8.301693e-02"
"m128","movq->movq","throughput","1.000073e+00","9.999273e-01"
"m128","xorps","latency","1.000066e+00","9.999341e-01"
"m128","xorps","throughput","3.334179e-01","2.999239e+00"
"m128","addps","latency","4.004670e+00","2.497084e-01"
"m128","addps","throughput","5.000693e-01","1.999723e+00"
"m128","mulps","latency","4.003745e+00","2.497662e-01"
"m128","mulps","throughput","5.000746e-01","1.999702e+00"
"m128","divps","latency","1.100789e+01","9.084393e-02"
"m128","divps","throughput","5.003228e+00","1.998710e-01"
"m128","divpd","latency","1.300345e+01","7.690266e-02"
"m128","divpd","throughput","8.002019e+00","1.249685e-01"
"m128","rsqrtps","latency","4.001348e+00","2.499157e-01"
"m128","rsqrtps","throughput","1.000266e+00","9.997337e-01"
"m128","rcpps","latency","4.000187e+00","2.499883e-01"
"m128","rcpps","throughput","1.000066e+00","9.999337e-01"
